#HEADER,2017-06-01 12:42:53, Logfile newly created as 'background-darkness-CPM.log'
#LOGGING with cycle 3.0 sec, and mode 'CPM', using device 'GMC-300E Plus v4.20'
      1,2017-06-01 12:43:08, 22
      2,2017-06-01 12:43:11, 25
      3,2017-06-01 12:43:14, 25
      4,2017-06-01 12:43:17, 26
      5,2017-06-01 12:43:20, 24
      6,2017-06-01 12:43:23, 25
      7,2017-06-01 12:43:26, 24
      8,2017-06-01 12:43:29, 24
      9,2017-06-01 12:43:32, 24
     10,2017-06-01 12:43:35, 25
     11,2017-06-01 12:43:38, 25
     12,2017-06-01 12:43:41, 25
     13,2017-06-01 12:43:44, 25
     14,2017-06-01 12:43:47, 23
     15,2017-06-01 12:43:50, 19
     16,2017-06-01 12:43:53, 17
     17,2017-06-01 12:43:56, 19
     18,2017-06-01 12:43:59, 16
     19,2017-06-01 12:44:02, 20
     20,2017-06-01 12:44:05, 21
     21,2017-06-01 12:44:08, 20
     22,2017-06-01 12:44:11, 18
     23,2017-06-01 12:44:14, 18
     24,2017-06-01 12:44:17, 18
     25,2017-06-01 12:44:20, 20
     26,2017-06-01 12:44:23, 24
     27,2017-06-01 12:44:26, 23
     28,2017-06-01 12:44:29, 23
     29,2017-06-01 12:44:32, 24
     30,2017-06-01 12:44:35, 24
     31,2017-06-01 12:44:38, 23
     32,2017-06-01 12:44:41, 24
     33,2017-06-01 12:44:44, 24
     34,2017-06-01 12:44:47, 24
     35,2017-06-01 12:44:50, 24
     36,2017-06-01 12:44:53, 24
     37,2017-06-01 12:44:56, 23
     38,2017-06-01 12:44:59, 23
     39,2017-06-01 12:45:02, 21
     40,2017-06-01 12:45:05, 21
     41,2017-06-01 12:45:08, 21
     42,2017-06-01 12:45:11, 21
     43,2017-06-01 12:45:14, 22
     44,2017-06-01 12:45:17, 21
     45,2017-06-01 12:45:20, 20
     46,2017-06-01 12:45:23, 17
     47,2017-06-01 12:45:26, 17
     48,2017-06-01 12:45:29, 16
     49,2017-06-01 12:45:32, 16
     50,2017-06-01 12:45:35, 17
     51,2017-06-01 12:45:38, 16
     52,2017-06-01 12:45:41, 15
     53,2017-06-01 12:45:44, 17
     54,2017-06-01 12:45:47, 17
     55,2017-06-01 12:45:50, 17
     56,2017-06-01 12:45:53, 17
     57,2017-06-01 12:45:56, 16
     58,2017-06-01 12:45:59, 18
     59,2017-06-01 12:46:02, 17
     60,2017-06-01 12:46:05, 19
     61,2017-06-01 12:46:08, 21
     62,2017-06-01 12:46:11, 20
     63,2017-06-01 12:46:14, 20
     64,2017-06-01 12:46:17, 20
     65,2017-06-01 12:46:20, 20
     66,2017-06-01 12:46:23, 20
