#HEADER,2017-06-01 09:15:25, Logfile newly created as 'background-darkness-CPS.log'
#LOGGING with cycle 1.0 sec, and mode 'CPS', using device 'GMC-300E Plus v4.20'
      1,2017-06-01 09:15:57, 120
      2,2017-06-01 09:15:58, 0
      3,2017-06-01 09:15:59, 0
      4,2017-06-01 09:16:00, 0
      5,2017-06-01 09:16:01, 0
      6,2017-06-01 09:16:02, 0
      7,2017-06-01 09:16:03, 0
      8,2017-06-01 09:16:04, 0
      9,2017-06-01 09:16:05, 0
     10,2017-06-01 09:16:06, 60
     11,2017-06-01 09:16:07, 0
     12,2017-06-01 09:16:08, 0
     13,2017-06-01 09:16:09, 0
     14,2017-06-01 09:16:10, 0
     15,2017-06-01 09:16:11, 0
     16,2017-06-01 09:16:12, 60
     17,2017-06-01 09:16:13, 60
     18,2017-06-01 09:16:14, 0
     19,2017-06-01 09:16:15, 60
     20,2017-06-01 09:16:16, 0
     21,2017-06-01 09:16:17, 60
     22,2017-06-01 09:16:18, 120
     23,2017-06-01 09:16:19, 0
     24,2017-06-01 09:16:20, 0
     25,2017-06-01 09:16:21, 0
     26,2017-06-01 09:16:22, 0
     27,2017-06-01 09:16:23, 60
     28,2017-06-01 09:16:24, 0
     29,2017-06-01 09:16:25, 60
     30,2017-06-01 09:16:26, 0
     31,2017-06-01 09:16:27, 0
     32,2017-06-01 09:16:28, 0
     33,2017-06-01 09:16:29, 60
     34,2017-06-01 09:16:30, 0
     35,2017-06-01 09:16:31, 0
     36,2017-06-01 09:16:32, 60
     37,2017-06-01 09:16:33, 0
     38,2017-06-01 09:16:34, 60
     39,2017-06-01 09:16:35, 60
     40,2017-06-01 09:16:36, 120
     41,2017-06-01 09:16:37, 0
     42,2017-06-01 09:16:38, 0
     43,2017-06-01 09:16:39, 0
     44,2017-06-01 09:16:40, 0
     45,2017-06-01 09:16:41, 60
     46,2017-06-01 09:16:42, 0
     47,2017-06-01 09:16:43, 180
     48,2017-06-01 09:16:44, 0
     49,2017-06-01 09:16:45, 60
     50,2017-06-01 09:16:46, 0
     51,2017-06-01 09:16:47, 0
     52,2017-06-01 09:16:48, 60
     53,2017-06-01 09:16:49, 0
     54,2017-06-01 09:16:50, 60
     55,2017-06-01 09:16:51, 60
     56,2017-06-01 09:16:52, 0
     57,2017-06-01 09:16:53, 0
     58,2017-06-01 09:16:54, 0
     59,2017-06-01 09:16:55, 0
     60,2017-06-01 09:16:56, 0
     61,2017-06-01 09:16:57, 60
     62,2017-06-01 09:16:58, 0
     63,2017-06-01 09:16:59, 0
     64,2017-06-01 09:17:00, 60
     65,2017-06-01 09:17:01, 0
     66,2017-06-01 09:17:02, 0
     67,2017-06-01 09:17:03, 0
     68,2017-06-01 09:17:04, 0
     69,2017-06-01 09:17:05, 0
     70,2017-06-01 09:17:06, 0
     71,2017-06-01 09:17:07, 60
     72,2017-06-01 09:17:08, 0
     73,2017-06-01 09:17:09, 0
     74,2017-06-01 09:17:10, 0
     75,2017-06-01 09:17:11, 0
     76,2017-06-01 09:17:12, 0
     77,2017-06-01 09:17:13, 60
     78,2017-06-01 09:17:14, 0
     79,2017-06-01 09:17:15, 60
